2023-05-24 01:53:33,968 INFO | Server [0] was established !
2023-05-24 01:53:33,968 INFO | Server [0] is listening !
2023-05-24 01:53:33,969 INFO | Server [1] was established !
2023-05-24 01:53:33,969 INFO | Server [1] is listening !
2023-05-24 01:53:33,970 INFO | Server [2] was established !
2023-05-24 01:53:33,970 INFO | Server [2] is listening !
2023-05-24 01:53:33,970 INFO | Server [3] was established !
2023-05-24 01:53:33,970 INFO | Server [3] is listening !
2023-05-24 01:53:33,970 INFO | Server [4] was established !
2023-05-24 01:53:33,970 INFO | Server [4] is listening !
2023-05-24 01:53:33,970 INFO | Server [5] was established !
2023-05-24 01:53:33,970 INFO | Server [5] is listening !
2023-05-24 01:53:33,971 INFO | Server [6] was established !
2023-05-24 01:53:33,971 INFO | Server [7] was established !
2023-05-24 01:53:33,971 INFO | Client [0] was established !
2023-05-24 01:53:33,972 INFO | Server [6] is listening !
2023-05-24 01:53:33,972 INFO | Client [0] is listening!
2023-05-24 01:53:33,972 INFO | Server [7] is listening !
2023-05-24 01:53:36,570 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,571 INFO 0 <---- 6 with COMMIT - [0, 0]
2023-05-24 01:53:36,571 INFO @@@
2023-05-24 01:53:36,573 INFO Client [0] has received message :result, from ['127.0.0.1', 51789] with number [0, 0]
2023-05-24 01:53:36,580 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,612 INFO 1 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:36,627 INFO 5 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:36,641 INFO 2 <---- 0 with COMMIT - [0, 1]
2023-05-24 01:53:36,658 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,675 INFO 5 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:36,676 INFO 6 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,690 INFO 1 <---- 6 with COMMIT - [0, 0]
2023-05-24 01:53:36,692 INFO @@@
2023-05-24 01:53:36,693 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,694 INFO Client [0] has received message :result, from ['127.0.0.1', 51790] with number [0, 0]
2023-05-24 01:53:36,695 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:36,704 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,721 INFO 2 <---- 1 with PRE_PREPARE [1, 0]
2023-05-24 01:53:36,723 INFO 0 <---- 0 with PREPARE - [1, 0]
2023-05-24 01:53:36,737 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,740 INFO 0 <---- 0 with COMMIT - [0, 1]
2023-05-24 01:53:36,754 INFO 2 <---- 5 with COMMIT - [0, 0]
2023-05-24 01:53:36,756 INFO 3 <---- 0 with COMMIT - [0, 1]
2023-05-24 01:53:36,757 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,768 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,770 INFO 6 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:36,771 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,815 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,819 INFO 0 <---- 7 with COMMIT - [0, 0]
